Frame Number;Timestamp;Rigid Body Name;Relative X;Relative Y;Relative Z;Gesture
524455;4370.458;HandLeft;-0.4109;-0.8706;-0.0647;clap
524455;4370.458;HandRight;0.1541;-0.9011;0.0003;clap
524455;4370.458;Head;-0.097;0.0114;-0.006;clap
524456;4370.467;HandLeft;-0.4105;-0.8711;-0.0652;clap
524456;4370.467;HandRight;0.1519;-0.9014;0.0;clap
524456;4370.467;Head;-0.0992;0.0115;-0.0059;clap
524457;4370.475;HandLeft;-0.4105;-0.8715;-0.0657;clap
524457;4370.475;HandRight;0.1497;-0.9013;-0.0005;clap
524457;4370.475;Head;-0.101;0.0116;-0.0048;clap
524458;4370.483;HandLeft;-0.4105;-0.8715;-0.0663;clap
524458;4370.483;HandRight;0.1476;-0.901;-0.0011;clap
524458;4370.483;Head;-0.1028;0.0117;-0.0044;clap
524459;4370.492;HandLeft;-0.4105;-0.8716;-0.0667;clap
524459;4370.492;HandRight;0.1454;-0.9011;-0.0016;clap
524459;4370.492;Head;-0.1049;0.0119;-0.0041;clap
524460;4370.5;HandLeft;-0.4106;-0.8716;-0.0674;clap
524460;4370.5;HandRight;0.1434;-0.9008;-0.0022;clap
524460;4370.5;Head;-0.1065;0.0121;-0.0032;clap
524461;4370.508;HandLeft;-0.4106;-0.8718;-0.0678;clap
524461;4370.508;HandRight;0.1414;-0.9004;-0.0029;clap
524461;4370.508;Head;-0.1085;0.0123;-0.0027;clap
524462;4370.517;HandLeft;-0.4108;-0.8721;-0.0681;clap
524462;4370.517;HandRight;0.1397;-0.9001;-0.0035;clap
524462;4370.517;Head;-0.1104;0.0124;-0.0018;clap
524463;4370.525;HandLeft;-0.4108;-0.8727;-0.0684;clap
524463;4370.525;HandRight;0.1377;-0.9;-0.0045;clap
524463;4370.525;Head;-0.1121;0.0127;-0.0013;clap
524464;4370.533;HandLeft;-0.4115;-0.873;-0.0689;clap
524464;4370.533;HandRight;0.1358;-0.8993;-0.0054;clap
524464;4370.533;Head;-0.1142;0.0131;-0.001;clap
524465;4370.542;HandLeft;-0.4122;-0.873;-0.0692;clap
524465;4370.542;HandRight;0.134;-0.8987;-0.0065;clap
524465;4370.542;Head;-0.1164;0.0135;-0.0004;clap
524466;4370.55;HandLeft;-0.4132;-0.8729;-0.0696;clap
524466;4370.55;HandRight;0.1321;-0.8983;-0.0075;clap
524466;4370.55;Head;-0.1177;0.0135;0.0009;clap
524467;4370.558;HandLeft;-0.4142;-0.8731;-0.0698;clap
524467;4370.558;HandRight;0.1306;-0.8976;-0.0088;clap
524467;4370.558;Head;-0.1195;0.014;0.0016;clap
524468;4370.567;HandLeft;-0.4153;-0.8729;-0.0704;clap
524468;4370.567;HandRight;0.1291;-0.8966;-0.0102;clap
524468;4370.567;Head;-0.1216;0.0144;0.0018;clap
524469;4370.575;HandLeft;-0.4165;-0.8728;-0.071;clap
524469;4370.575;HandRight;0.1278;-0.8953;-0.0117;clap
524469;4370.575;Head;-0.123;0.0147;0.0029;clap
524470;4370.583;HandLeft;-0.4179;-0.8724;-0.0718;clap
524470;4370.583;HandRight;0.1266;-0.894;-0.0136;clap
524470;4370.583;Head;-0.1248;0.0151;0.0035;clap
524471;4370.592;HandLeft;-0.4193;-0.8718;-0.0727;clap
524471;4370.592;HandRight;0.1255;-0.8927;-0.0154;clap
524471;4370.592;Head;-0.1263;0.0154;0.0043;clap
524472;4370.6;HandLeft;-0.4209;-0.871;-0.0739;clap
524472;4370.6;HandRight;0.1247;-0.8912;-0.0176;clap
524472;4370.6;Head;-0.1282;0.0157;0.0048;clap
524473;4370.608;HandLeft;-0.4227;-0.8702;-0.0755;clap
524473;4370.608;HandRight;0.1237;-0.8899;-0.0198;clap
524473;4370.608;Head;-0.1299;0.016;0.0058;clap
524474;4370.617;HandLeft;-0.4245;-0.8689;-0.0772;clap
